DateTime;DietCode;OUT;PV;SP
44785,71736;BK32993M;34,3804245;7729,360352;7700
44785,72778;BK32993M;33,28765106;7795,519043;7700
44785,73819;BK32993M;34,03266525;7711,231445;7700
44785,74861;BK32993M;34,5099411;7676,059082;7700
44785,75903;BK32993M;34,33999252;7704,682617;7700
44785,76944;BK32993M;33,79901886;7781,34668;7700
44785,77986;BK32993M;34,80168533;7667,138672;7700
44785,79028;BK32993M;34,3337822;7757,974121;7700
44785,80069;BK32993M;33,39276886;7874,823242;7700
44785,81111;BK32993M;35,05636215;7546,363281;7700
44785,82153;BK32993M;34,51296234;7684,460938;7700
44785,83194;BK32993M;33,85438156;7749,044922;7700
44785,84236;BK32993M;33,65464401;7895,294922;7700
44785,85278;BK32993M;35,02777863;7663,979492;7700
44785,86319;BK32993M;33,96854019;7837,005859;7700
44785,87361;BK32993M;34,204319;7831,494141;7700
44785,88403;BK32993M;35,20459747;7725,941895;7700
44785,89444;BK32993M;35,38558197;7730,935547;7700
44785,90486;BK32993M;34,79157639;7778,989258;7700
44785,91528;BK32993M;34,35202789;7754,830078;7700
12/15/2022 1:58:03 PM;BK32993M;35,54372406;7790,266602;7700
12/15/2022 2:13:03 PM;BK32993M;36,02671814;7706,257813;7700
12/15/2022 2:28:03 PM;BK32993M;34,97218323;7781,600586;7700
12/15/2022 2:43:03 PM;BK32993M;35,08344269;7886,893066;7700
12/15/2022 2:58:03 PM;BK32993M;36,39474487;7520,360352;7700
12/15/2022 3:13:03 PM;BK32993M;35,94593048;7659,524414;7700
12/15/2022 3:28:03 PM;BK32993M;36,15750122;7694,975586;7700
12/15/2022 3:43:03 PM;BK32993M;36,06063461;7722,802734;7700
12/15/2022 3:58:03 PM;BK32993M;35,78453064;7795,259766;7700
12/15/2022 4:13:03 PM;BK32993M;35,47868347;7803,65625;7700
12/15/2022 4:28:03 PM;BK32993M;36,57045746;7457,350586;7700
12/15/2022 4:43:03 PM;BK32993M;36,22682571;7657,680664;7700
12/15/2022 4:58:03 PM;BK32993M;36,16244507;7675,271973;7700
12/15/2022 5:13:03 PM;BK32993M;35,62617111;7808,385742;7700
12/15/2022 5:28:03 PM;BK32993M;35,33141708;7839,367188;7700
12/15/2022 5:43:03 PM;BK32993M;35,14559555;7863,267578;7700
12/15/2022 5:58:03 PM;BK32993M;35,70785141;7797,880859;7700
12/15/2022 6:13:03 PM;BK32993M;36,13389206;7674,21582;7700
12/15/2022 6:28:03 PM;BK32993M;35,63090897;7808,390625;7700
12/15/2022 6:43:03 PM;BK32993M;35,20917511;7919,19043;7700
12/15/2022 6:58:03 PM;BK32993M;36,27002335;7697,856445;7700
