Density;OUT;PV
344;51,93327713;6967,870117
344;51,99557877;6978,634766
344;52,07141876;6951,854492
344;52,4033165;6974,433105
344;52,01789093;7043,467773
344;52,37180328;6999,624023
344;52,09986115;7003,570313
344;52,11919022;6982,047852
344;52,00672913;6978,105957
344;52,55519104;7000,156738
344;51,99012375;6947,129883
344;51,84417343;7010,138672
344;51,06246185;7199,394531
344;51,98854065;6950,289063
344;51,9472084;6995,174316
344;51,81546783;6974,957031
344;51,86116791;6960,78418
344;51,71818161;6997,00293
344;51,55992126;7003,052734
344;52,08826065;6953,687012
344;52,09308243;6943,182617
344;52,22686386;6980,46875
344;51,72047424;7110,941406
344;52,22600555;6933,739258
344;51,79188156;7036,126953
344;51,80440903;7042,42041
344;52,06274033;7017,743652
344;51,94131851;7021,679688
344;51,90046692;6977,32373
344;52,02148056;6941,618164
344;52,05120087;6941,079102
344;51,89446259;6960,78418
344;52,05455017;6936,624512
344;51,90916061;6984,937988
344;51,46340179;7101,752441
344;51,78202057;6976,536133
344;51,71998215;7017,225098
344;51,91700363;6984,673828
344;51,59003448;7101,223633
344;51,51831436;7040,058594
344;52,12879944;6984,150391
344;51,31088257;7081,021484
344;51,35105896;7093,091797
344;51,8481369;7024,570313
344;52,14994049;6984,145996
344;52,12844086;6976,53125
344;51,98993683;6979,421875
344;51,83446503;7023,773438
344;51,8326416;6996,484375
344;52,09178162;6952,381836
344;52,2518158;6989,921387
344;52,16836166;7020,375
344;52,22759628;6990,445313
344;52,01169586;7049,512695
344;52,15682983;6990,443848
344;52,07822418;6998,836914
344;52,20669174;6987,823242
344;52,02773285;7018,261719
344;51,72904205;7032,703613
344;51,79899979;6966,564453
344;51,54645538;7031,12793
344;52,00428009;6980,737305
344;51,6832428;7003,051758
344;51,92835617;6973,920898
344;51,88820267;7040,322266
320;52,08744431;6973,118164
320;52,11918259;7011,444336
320;52,28885651;7007,777344
320;52,64280701;6979,950195
320;52,62485123;6950,538574
320;52,43331146;6962,876465
320;52,51729965;7017,743164
320;52,67541885;6988,870117
320;52,45952225;7011,713379
320;52,71183777;6941,099609
320;52,58949661;6973,650879
320;52,51943207;6982,56543
320;52,47822189;6990,180664
320;52,71618652;7006,989258
320;52,37362289;7040,581543
320;52,93275833;6982,30127
320;52,90530396;6968,916992
320;52,88249969;6966,285156
320;52,95056915;6978,625
320;53,06824493;6950,807617
320;52,59392166;7034,018555
320;52,79528809;7004,866211
320;52,79466248;6991,222656
320;52,95456696;6992,806641
320;52,92816162;7002,513672
320;52,78068924;7007,507324
320;52,89467621;7011,972656
320;52,9604187;7023,523438
320;53,06624603;6999,633789
320;52,85113144;6946,601563
320;52,48346329;6993,325195
320;52,38257217;6993,604492
320;52,4134903;7030,091797
320;52,96283722;6945,295898
320;52,36607742;7009,879883
320;52,24101257;7086,782715
320;51,84844589;7003,041992
320;51,94604874;7016,179688
344;51,77829742;7000,162109
344;51,95013428;6991,491699
344;51,71164322;6983,089844
344;51,3364563;7020,370117
344;51,62944031;7022,736328
344;51,73511887;7004,616699
