OUT;PV;SP;Year;Month;Day;Hour;Minute
61,33971405;9182,162109;9300;2023;11;6;21;47
61,33971405;9182,162109;9300;2023;11;6;21;47
61,33971405;9182,162109;9300;2023;11;6;21;47
61,33971405;9182,162109;9300;2023;11;6;21;47
61,33971405;9182,162109;9300;2023;11;6;21;47
61,33971405;9182,162109;9300;2023;11;6;21;47
61,33971405;9182,162109;9300;2023;11;6;21;47
61,33971405;9182,162109;9300;2023;11;6;21;47
61,33971405;9182,162109;9300;2023;11;6;21;47
61,11855698;9256,189453;9300;2023;11;6;21;47
60,78276825;9358,039063;9300;2023;11;6;21;48
60,88139725;9303,96875;9300;2023;11;6;21;48
60,65896606;9354,898438;9300;2023;11;6;21;48
61,25709152;9181,638672;9300;2023;11;6;21;48
61,07125092;9279,28125;9300;2023;11;6;21;48
61,14983368;9282,710938;9300;2023;11;6;21;48
60,57772064;9436,016602;9300;2023;11;6;21;48
60,19694519;9487,463867;9300;2023;11;6;21;48
60,65733337;9287,962891;9300;2023;11;6;21;48
61,13500214;9169,298828;9300;2023;11;6;21;48
61,28474426;9171,402344;9300;2023;11;6;21;48
60,84658432;9341,772461;9300;2023;11;6;21;48
60,45263672;9428,412109;9300;2023;11;6;21;49
60,4191246;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;49
60,40231705;9385,865234;9300;2023;11;6;21;50
60,81940842;9254,34375;9300;2023;11;6;21;50
60,88536835;9265,119141;9300;2023;11;6;21;50
60,48935699;9379,316406;9300;2023;11;6;21;50
60,59864807;9327,330078;9300;2023;11;6;21;50
60,19157791;9412,644531;9300;2023;11;6;21;50
60,21985626;9365,652344;9300;2023;11;6;21;50
60,84833145;9188,197266;9300;2023;11;6;21;50
60,80611038;9230,455078;9300;2023;11;6;21;50
60,58000183;9313,158203;9300;2023;11;6;21;50
60,30052567;9379,824219;9300;2023;11;6;21;50
60,13050842;9383,25293;9300;2023;11;6;21;50
60,67343521;9214,199219;9300;2023;11;6;21;51
61,5566597;9046,450195;9300;2023;11;6;21;51
60,69172287;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;51
60,65007782;9370,914063;9300;2023;11;6;21;52
60,65007782;9370,914063;9300;2023;11;6;21;52
60,65007782;9370,914063;9300;2023;11;6;21;52
60,42066574;9423,150391;9300;2023;11;6;21;52
60,81639862;9284,285156;9300;2023;11;6;21;52
61,1943779;9182,166016;9300;2023;11;6;21;52
60,82229233;9319,457031;9300;2023;11;6;21;52
60,86135864;9285,331055;9300;2023;11;6;21;52
60,36943054;9412,126953;9300;2023;11;6;21;52
61,11052704;9181,898438;9300;2023;11;6;21;52
60,64490509;9336,260742;9300;2023;11;6;21;52
61,14329147;9204,741211;9300;2023;11;6;21;52
60,78720856;9329,951172;9300;2023;11;6;21;53
60,40783691;9411,597656;9300;2023;11;6;21;53
60,46483612;9348,857422;9300;2023;11;6;21;53
60,80498123;9244,108398;9300;2023;11;6;21;53
61,17053604;9188,978516;9300;2023;11;6;21;53
61,19226837;9188,978516;9300;2023;11;6;21;53
61,19226837;9188,978516;9300;2023;11;6;21;53
61,19226837;9188,978516;9300;2023;11;6;21;53
