DateTime;EL02_Process_Recipe_Working,MESQuality,Density_Max;EL02_Process_Recipe_Working,Extruder,AltBom;EL02_Process_Recipe_Working,Extruder,DietCode;EL02_Process_Recipe_Working,Extruder,ProdOrderNum;EL02_Process_Recipe_Working,MESQuality,Density_Min;EL02_Process_Recipe_Working,MESQuality,Density_Target;EL02_Dry_Feed_Rate_PID,OUT;EL02_Dry_Feed_Rate_PID,PV;EL02_Dry_Feed_Rate_PID,SP
11/22/2023 6:15:29 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:15:34 PM;376;011-00;BK32348M;9871289;312;344;42,12148666;7039,541016;7000
11/22/2023 6:15:39 PM;376;011-00;BK32348M;9871289;312;344;42,68146515;6904,333008;7000
11/22/2023 6:15:44 PM;376;011-00;BK32348M;9871289;312;344;42,22060394;7055,288086;7000
11/22/2023 6:15:49 PM;376;011-00;BK32348M;9871289;312;344;41,7865181;7155,312988;7000
11/22/2023 6:15:54 PM;376;011-00;BK32348M;9871289;312;344;42,03427124;7018,530273;7000
11/22/2023 6:15:59 PM;376;011-00;BK32348M;9871289;312;344;42,00956345;7041,624023;7000
11/22/2023 6:16:04 PM;376;011-00;BK32348M;9871289;312;344;42,09437943;7005,39502;7000
11/22/2023 6:16:09 PM;376;011-00;BK32348M;9871289;312;344;42,17897415;6989,657227;7000
11/22/2023 6:16:14 PM;376;011-00;BK32348M;9871289;312;344;42,14204025;7011,444824;7000
11/22/2023 6:16:19 PM;376;011-00;BK32348M;9871289;312;344;41,72940063;7119,612305;7000
11/22/2023 6:16:24 PM;376;011-00;BK32348M;9871289;312;344;41,75218582;7066,839844;7000
11/22/2023 6:16:29 PM;376;011-00;BK32348M;9871289;312;344;42,04122925;6963,674805;7000
11/22/2023 6:16:34 PM;376;011-00;BK32348M;9871289;312;344;42,20016861;6932,17041;7000
11/22/2023 6:16:39 PM;376;011-00;BK32348M;9871289;312;344;42,21502686;6961,571289;7000
11/22/2023 6:16:44 PM;376;011-00;BK32348M;9871289;312;344;42,04606247;7018,530273;7000
11/22/2023 6:16:49 PM;376;011-00;BK32348M;9871289;312;344;41,63970566;7122,741211;7000
11/22/2023 6:16:54 PM;376;011-00;BK32348M;9871289;312;344;41,78520966;7035,333984;7000
11/22/2023 6:16:59 PM;376;011-00;BK32348M;9871289;312;344;41,48499298;7101,752441;7000
11/22/2023 6:17:04 PM;376;011-00;BK32348M;9871289;312;344;41,60866547;7035,862793;7000
11/22/2023 6:17:09 PM;376;011-00;BK32348M;9871289;312;344;42,33646774;6832,667969;7000
11/22/2023 6:17:14 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:17:19 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:17:24 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:17:29 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:17:34 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:17:39 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:17:44 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:17:49 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:17:54 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:17:59 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:18:04 PM;376;011-00;BK32348M;9871289;312;344;42,74361801;6753,657715;7000
11/22/2023 6:18:09 PM;376;011-00;BK32348M;9871289;312;344;41,41523361;7161,352539;7000
11/22/2023 6:18:14 PM;376;011-00;BK32348M;9871289;312;344;41,40565491;7098,861328;7000
11/22/2023 6:18:19 PM;376;011-00;BK32348M;9871289;312;344;41,71195221;6984,404785;7000
11/22/2023 6:18:24 PM;376;011-00;BK32348M;9871289;312;344;42,18089676;6894,097656;7000
11/22/2023 6:18:29 PM;376;011-00;BK32348M;9871289;312;344;42,09738922;6941,09082;7000
11/22/2023 6:18:34 PM;376;011-00;BK32348M;9871289;312;344;41,87496185;7020,105957;7000
11/22/2023 6:18:39 PM;376;011-00;BK32348M;9871289;312;344;42,01554108;6971,289063;7000
11/22/2023 6:18:44 PM;376;011-00;BK32348M;9871289;312;344;41,57400894;7091,256836;7000
11/22/2023 6:18:49 PM;376;011-00;BK32348M;9871289;312;344;42,07138443;6927,445313;7000
11/22/2023 6:18:54 PM;376;011-00;BK32348M;9871289;312;344;41,71889114;7047,404297;7000
11/22/2023 6:18:59 PM;376;011-00;BK32348M;9871289;312;344;41,73165131;7040,855469;7000
11/22/2023 6:19:04 PM;376;011-00;BK32348M;9871289;312;344;41,54224396;7079,176758;7000
11/22/2023 6:19:09 PM;376;011-00;BK32348M;9871289;312;344;41,98580933;6950,269531;7000
11/22/2023 6:19:14 PM;376;011-00;BK32348M;9871289;312;344;42,02378464;6943,461914;7000
11/22/2023 6:19:19 PM;376;011-00;BK32348M;9871289;312;344;42,01559067;6963,674316;7000
11/22/2023 6:19:24 PM;376;011-00;BK32348M;9871289;312;344;41,16870117;7192,308594;7000
11/22/2023 6:19:29 PM;376;011-00;BK32348M;9871289;312;344;41,35764313;7064,198242;7000
11/22/2023 6:19:34 PM;376;011-00;BK32348M;9871289;312;344;41,72011185;6945,555176;7000
11/22/2023 6:19:39 PM;376;011-00;BK32348M;9871289;312;344;41,94983673;6919,043945;7000
11/22/2023 6:19:44 PM;376;011-00;BK32348M;9871289;312;344;42,28189468;6859,18457;7000
11/22/2023 6:19:49 PM;376;011-00;BK32348M;9871289;312;344;42,08394623;6957,635254;7000
11/22/2023 6:19:54 PM;376;011-00;BK32348M;9871289;312;344;41,97045135;6995,957031;7000
11/22/2023 6:19:59 PM;376;011-00;BK32348M;9871289;312;344;41,61776352;7083,109375;7000
11/22/2023 6:20:04 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:09 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:14 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:19 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:24 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:29 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:34 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:39 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:44 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:49 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:54 PM;376;011-00;BK32348M;9871289;312;344;41,56895447;7083,109375;7000
11/22/2023 6:20:59 PM;376;011-00;BK32348M;9871289;312;344;42,40084839;6830,829102;7000
11/22/2023 6:21:04 PM;376;011-00;BK32348M;9871289;312;344;42,53266525;6848,949219;7000
11/22/2023 6:21:09 PM;376;011-00;BK32348M;9871289;312;344;42,29141235;6947,916992;7000
11/22/2023 6:21:14 PM;376;011-00;BK32348M;9871289;312;344;41,9204216;7069,978516;7000
11/22/2023 6:21:19 PM;376;011-00;BK32348M;9871289;312;344;42,12014008;6993,59375;7000
11/22/2023 6:21:24 PM;376;011-00;BK32348M;9871289;312;344;42,14414215;6998,05957;7000
11/22/2023 6:21:29 PM;376;011-00;BK32348M;9871289;312;344;41,76770782;7094,655273;7000
11/22/2023 6:21:34 PM;376;011-00;BK32348M;9871289;312;344;41,59647369;7110,931152;7000
11/22/2023 6:21:39 PM;376;011-00;BK32348M;9871289;312;344;41,53989792;7077,333496;7000
11/22/2023 6:21:44 PM;376;011-00;BK32348M;9871289;312;344;41,39409637;7100,436523;7000
11/22/2023 6:21:49 PM;376;011-00;BK32348M;9871289;312;344;41,16279984;7131,144043;7000
11/22/2023 6:21:54 PM;376;011-00;BK32348M;9871289;312;344;41,65535736;6972,604492;7000
11/22/2023 6:21:59 PM;376;011-00;BK32348M;9871289;312;344;42,13354874;6836,609375;7000
11/22/2023 6:22:04 PM;376;011-00;BK32348M;9871289;312;344;42,05027008;6911,169922;7000
11/22/2023 6:22:09 PM;376;011-00;BK32348M;9871289;312;344;41,91991806;6962,887695;7000
11/22/2023 6:22:14 PM;376;011-00;BK32348M;9871289;312;344;41,80112457;7011,444336;7000
11/22/2023 6:22:19 PM;376;011-00;BK32348M;9871289;312;344;42,26726151;6881,499023;7000
11/22/2023 6:22:24 PM;376;011-00;BK32348M;9871289;312;344;41,99091721;7011,444336;7000
11/22/2023 6:22:29 PM;376;011-00;BK32348M;9871289;312;344;42,00611115;7007,507813;7000
11/22/2023 6:22:34 PM;376;011-00;BK32348M;9871289;312;344;42,05349731;6992,278809;7000
11/22/2023 6:22:39 PM;376;011-00;BK32348M;9871289;312;344;41,68785095;7109,107422;7000
11/22/2023 6:22:44 PM;376;011-00;BK32348M;9871289;312;344;41,49302673;7112,251953;7000
11/22/2023 6:22:49 PM;376;011-00;BK32348M;9871289;312;344;41,10349274;7182,078125;7000
11/22/2023 6:22:54 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:22:59 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:04 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:09 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:14 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:19 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:24 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:29 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:34 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:39 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:44 PM;376;011-00;BK32348M;9871289;312;344;41,06785202;7182,078125;7000
11/22/2023 6:23:49 PM;376;011-00;BK32348M;9871289;312;344;42,12454987;6891,216797;7000
11/22/2023 6:23:54 PM;376;011-00;BK32348M;9871289;312;344;42,39686203;6845,011719;7000
11/22/2023 6:23:59 PM;376;011-00;BK32348M;9871289;312;344;41,32868958;7191,790527;7000
11/22/2023 6:24:04 PM;376;011-00;BK32348M;9871289;312;344;41,44638824;7098,861328;7000
11/22/2023 6:24:09 PM;376;011-00;BK32348M;9871289;312;344;41,59607315;7021,152344;7000
11/22/2023 6:24:14 PM;376;011-00;BK32348M;9871289;312;344;41,9793663;6934,003906;7000
11/22/2023 6:24:19 PM;376;011-00;BK32348M;9871289;312;344;41,66934204;7039,011719;7000
11/22/2023 6:24:24 PM;376;011-00;BK32348M;9871289;312;344;41,64269257;7027,459961;7000
11/22/2023 6:24:29 PM;376;011-00;BK32348M;9871289;312;344;42,04707336;6890,429688;7000
11/22/2023 6:24:34 PM;376;011-00;BK32348M;9871289;312;344;42,44218445;6818,241211;7000
11/22/2023 6:24:39 PM;376;011-00;BK32348M;9871289;312;344;41,97014236;6992,288086;7000
11/22/2023 6:24:44 PM;376;011-00;BK32348M;9871289;312;344;42,33279419;6896,469238;7000
11/22/2023 6:24:49 PM;376;011-00;BK32348M;9871289;312;344;42,42724991;6903,824707;7000
11/22/2023 6:24:54 PM;376;011-00;BK32348M;9871289;312;344;41,66176987;7138,508789;7000
11/22/2023 6:24:59 PM;376;011-00;BK32348M;9871289;312;344;41,582798;7103,855469;7000
11/22/2023 6:25:04 PM;376;011-00;BK32348M;9871289;312;344;41,92200851;6978,893555;7000
11/22/2023 6:25:09 PM;376;011-00;BK32348M;9871289;312;344;41,63834763;7066,569336;7000
11/22/2023 6:25:14 PM;376;011-00;BK32348M;9871289;312;344;41,62715149;7048,729492;7000
11/22/2023 6:25:19 PM;376;011-00;BK32348M;9871289;312;344;41,91382599;6955,541016;7000
11/22/2023 6:25:24 PM;376;011-00;BK32348M;9871289;312;344;41,91500473;6987,813477;7000
11/22/2023 6:25:29 PM;376;011-00;BK32348M;9871289;312;344;41,57087708;7061,855957;7000
11/22/2023 6:25:34 PM;376;011-00;BK32348M;9871289;312;344;41,5699234;7042,430664;7000
11/22/2023 6:25:39 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:25:44 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:25:49 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:25:54 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:25:59 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:26:04 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
11/22/2023 6:26:09 PM;376;011-00;BK32348M;9871289;312;344;42,09506989;6874,941406;7000
