Density_Target;Dry_Feed_Rate_PID.OUT;Dry_Feed_Rate_PID.SP;Line 3;Line 2;Line 1
360;50,6566925048828;7000;1;0;0
360;50,5838470458984;7000;1;0;0
360;50,6770896911621;7000;1;0;0
360;51,0661468505859;7000;1;0;0
360;50,9317779541016;7000;1;0;0
360;51,0224990844727;7000;1;0;0
360;50,9437980651855;7000;1;0;0
360;50,941104888916;7000;1;0;0
360;50,8464775085449;7000;1;0;0
360;51,1026268005371;7000;1;0;0
360;51,0925445556641;7000;1;0;0
360;51,0688934326172;7000;1;0;0
360;51,1184005737305;7000;1;0;0
360;51,0897560119629;7000;1;0;0
360;51,026668548584;7000;1;0;0
360;50,9567718505859;7000;1;0;0
360;51,1662979125977;7000;1;0;0
360;51,1855506896973;7000;1;0;0
360;51,1759414672852;7000;1;0;0
360;50,8803024291992;7000;1;0;0
360;50,7819595336914;7000;1;0;0
360;50,9062843322754;7000;1;0;0
360;51,1152191162109;7000;1;0;0
360;50,9653015136719;7000;1;0;0
360;51,1274795532227;7000;1;0;0
360;51,2607727050781;7000;1;0;0
360;51,1112632751465;7000;1;0;0
360;50,7732086181641;7000;1;0;0
360;50,7774925231934;7000;1;0;0
360;50,839973449707;7000;1;0;0
360;50,9637565612793;7000;1;0;0
360;50,9687843322754;7000;1;0;0
360;51,200325012207;7000;1;0;0
360;51,1007118225098;7000;1;0;0
360;50,9848670959473;7000;1;0;0
360;51,2192573547363;7000;1;0;0
360;51,1885643005371;7000;1;0;0
360;50,9726409912109;7000;1;0;0
360;50,8831329345703;7000;1;0;0
360;50,884765625;7000;1;0;0
360;50,5778045654297;7000;1;0;0
360;49,8794059753418;7000;1;0;0
360;50,4275665283203;7000;1;0;0
320;50,3239250183105;7000;1;0;0
320;50,6446952819824;7000;1;0;0
320;50,8410911560059;7000;1;0;0
320;50,5790710449219;7000;1;0;0
320;50,7154083251953;7000;1;0;0
320;50,7682914733887;7000;1;0;0
320;50,4674758911133;7000;1;0;0
320;50,4945297241211;7000;1;0;0
320;50,3704414367676;7000;1;0;0
320;50,1519050598145;7000;1;0;0
320;50,6188926696777;7000;1;0;0
320;50,7739677429199;7000;1;0;0
320;50,8726692199707;7000;1;0;0
320;50,9279136657715;7000;1;0;0
320;50,7546806335449;7000;1;0;0
320;50,8420448303223;7000;1;0;0
320;50,692195892334;7000;1;0;0
320;50,6575889587402;7000;1;0;0
320;50,7747650146484;7000;1;0;0
320;50,4162254333496;7000;1;0;0
320;50,8669204711914;7000;1;0;0
320;50,9113388061523;7000;1;0;0
320;50,3880767822266;7000;1;0;0
320;50,3761596679688;7000;1;0;0
320;50,5384407043457;7000;1;0;0
320;50,383430480957;7000;1;0;0
320;50,6733207702637;7000;1;0;0
320;50,7138290405273;7000;1;0;0
320;50,8378067016602;7000;1;0;0
320;50,9516525268555;7000;1;0;0
320;50,6912231445313;7000;1;0;0
320;50,9350204467773;7000;1;0;0
320;51,3364906311035;7000;1;0;0
320;51,0548210144043;7000;1;0;0
320;50,7950477600098;7000;1;0;0
320;38,7487030029297;6500;1;0;0
320;39,0445251464844;6500;1;0;0
320;39,2397384643555;6500;1;0;0
416;39,185474395752;6500;1;0;0
416;39,0840759277344;6500;1;0;0
416;39,1824569702148;6500;1;0;0
416;39,262035369873;6500;1;0;0
416;39,4228477478027;6500;1;0;0
416;39,354320526123;6500;1;0;0
416;39,1763496398926;6500;1;0;0
416;39,1436462402344;6500;1;0;0
416;39,0889282226563;6500;1;0;0
416;39,0802993774414;6500;1;0;0
416;38,9576072692871;6500;1;0;0
416;38,8661422729492;6500;1;0;0
416;39,1277618408203;6500;1;0;0
416;39,046272277832;6500;1;0;0
416;39,0115737915039;6500;1;0;0
416;39,1049613952637;6500;1;0;0
416;39,1653709411621;6500;1;0;0
416;39,1696395874023;6500;1;0;0
416;39,0311851501465;6500;1;0;0
416;38,9946937561035;6500;1;0;0
416;38,9027404785156;6500;1;0;0
416;39,1748733520508;6500;1;0;0
416;39,0136260986328;6500;1;0;0
416;38,7389068603516;6500;1;0;0
416;38,8679084777832;6500;1;0;0
416;38,8729515075684;6500;1;0;0
416;38,7765007019043;6500;1;0;0
416;38,8961944580078;6500;1;0;0
416;38,5645904541016;6500;1;0;0
416;38,6812782287598;6500;1;0;0
416;38,7340202331543;6500;1;0;0
416;38,8955993652344;6500;1;0;0
416;38,8210754394531;6500;1;0;0
416;39,8992652893066;6500;1;0;0
416;41,7455139160156;7000;1;0;0
416;42,1422348022461;7000;1;0;0
376;41,8655891418457;7000;1;0;0
376;41,9799957275391;7000;1;0;0
376;42,1338195800781;7000;1;0;0
376;42,3038711547852;7000;1;0;0
376;42,3248176574707;7000;1;0;0
376;42,647876739502;7000;1;0;0
376;42,0251350402832;7000;1;0;0
376;42,4743232727051;7000;1;0;0
376;42,81005859375;7000;1;0;0
376;43,1240196228027;7000;1;0;0
376;42,4130020141602;7000;1;0;0
376;42,8930740356445;7000;1;0;0
376;42,8715591430664;7000;1;0;0
376;42,4233779907227;7000;1;0;0
376;42,7543563842773;7000;1;0;0
376;42,908992767334;7000;1;0;0
376;42,8435554504395;7000;1;0;0
376;42,8011932373047;7000;1;0;0
376;42,9018363952637;7000;1;0;0
376;42,7925491333008;7000;1;0;0
376;42,875072479248;7000;1;0;0
376;42,8653678894043;7000;1;0;0
376;42,9396171569824;7000;1;0;0
376;42,7977828979492;7000;1;0;0
376;42,7188720703125;7000;1;0;0
376;42,4253959655762;7000;1;0;0
376;42,7272262573242;7000;1;0;0
376;42,253833770752;7000;1;0;0
376;42,0031967163086;7000;1;0;0
376;42,3649711608887;7000;1;0;0
376;42,2322769165039;7000;1;0;0
376;42,282844543457;7000;1;0;0
376;42,5465126037598;7000;1;0;0
376;41,9256134033203;7000;1;0;0
376;42,3466567993164;7000;1;0;0
376;41,9926261901855;7000;1;0;0
376;42,1581764221191;7000;1;0;0
376;41,9501342773438;7000;1;0;0
376;42,0354804992676;7000;1;0;0
376;42,2413177490234;7000;1;0;0
376;41,8778305053711;7000;1;0;0
376;42,0630722045898;7000;1;0;0
376;41,8695793151855;7000;1;0;0
376;41,7224426269531;7000;1;0;0
376;42,0535507202148;7000;1;0;0
376;42,3825378417969;7000;1;0;0
376;42,2778434753418;7000;1;0;0
376;42,2277641296387;7000;1;0;0
376;41,885326385498;7000;1;0;0
376;42,3183555603027;7000;1;0;0
376;41,7049179077148;7000;1;0;0
376;41,9311027526855;7000;1;0;0
376;42,199104309082;7000;1;0;0
376;41,6702651977539;7000;1;0;0
376;42,371280670166;7000;1;0;0
376;41,6104011535645;7000;1;0;0
376;41,8567237854004;7000;1;0;0
376;41,6840057373047;7000;1;0;0
376;42,194995880127;7000;1;0;0
376;42,1786804199219;7000;1;0;0
376;41,8411026000977;7000;1;0;0
376;42,1313934326172;7000;1;0;0
376;41,725284576416;7000;1;0;0
376;42,110595703125;7000;1;0;0
376;42,179557800293;7000;1;0;0
376;42,1191177368164;7000;1;0;0
376;42,2532081604004;7000;1;0;0
376;41,877872467041;7000;1;0;0
376;42,1322174072266;7000;1;0;0
376;42,4391250610352;7000;1;0;0
376;41,7012329101563;7000;1;0;0
376;42,0842590332031;7000;1;0;0
376;41,9934272766113;7000;1;0;0
376;41,656623840332;7000;1;0;0
376;42,0748291015625;7000;1;0;0
376;41,7203674316406;7000;1;0;0
376;61,5520401000977;9000;1;0;0
376;61,9805870056152;9000;1;0;0
432;61,686450958252;9000;1;0;0
432;62,4023742675781;9000;1;0;0
432;61,8441543579102;9000;1;0;0
432;62,5477676391602;9000;1;0;0
432;62,4721641540527;9000;1;0;0
432;62,1510772705078;9000;1;0;0
432;61,9800796508789;9000;1;0;0
432;62,0096740722656;9000;1;0;0
432;62,0656394958496;9000;1;0;0
432;61,8023834228516;9000;1;0;0
432;62,2265815734863;9000;1;0;0
432;61,8431053161621;9000;1;0;0
432;61,7289772033691;9000;1;0;0
432;61,3419036865234;9000;1;0;0
432;61,7598152160645;9000;1;0;0
432;62,1408805847168;9000;1;0;0
432;62,3593292236328;9000;1;0;0
432;62,5388488769531;9000;1;0;0
432;62,1255683898926;9000;1;0;0
432;62,3111801147461;9000;1;0;0
432;62,8405418395996;9000;1;0;0
432;49,1015930175781;7000;1;0;0
432;49,810676574707;7000;1;0;0
344;49,776123046875;7000;1;0;0
344;49,9974403381348;7000;1;0;0
344;50,0820541381836;7000;1;0;0
344;50,148078918457;7000;1;0;0
344;49,9643669128418;7000;1;0;0
344;50,1278114318848;7000;1;0;0
344;50,2396583557129;7000;1;0;0
344;49,8141326904297;7000;1;0;0
344;50,3225288391113;7000;1;0;0
